"nta_id","nta_name","state_fips","county_fips","county_name","borough_name","borough_id","puma_id","puma_name","neighborhood","complaint_n","ebird_checklists","ebird_pigeon_total"
"BK85","East New York (Pennsylvania Ave)","36","047","Kings","Brooklyn","3","4007","Brooklyn Community District 16--Brownsville & Ocean Hill","Brooklyn Community District 16--Brownsville & Ocean Hill",38,0,0
"BK88","Borough Park","36","047","Kings","Brooklyn","3","4014","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",116,0,0
"BK90","East Williamsburg","36","047","Kings","Brooklyn","3","4001","Brooklyn Community District 1--Greenpoint & Williamsburg","Brooklyn Community District 1--Greenpoint & Williamsburg",158,0,0
"BK91","East Flatbush-Farragut","36","047","Kings","Brooklyn","3","4010","Brooklyn Community District 17--East Flatbush, Farragut & Rugby","Brooklyn Community District 17--East Flatbush, Farragut & Rugby",22,0,0
"BK93","Starrett City","36","047","Kings","Brooklyn","3","4008","Brooklyn Community District 5--East New York & Starrett City","Brooklyn Community District 5--East New York & Starrett City",76,0,0
"BK95","Erasmus","36","047","Kings","Brooklyn","3","4010","Brooklyn Community District 17--East Flatbush, Farragut & Rugby","Brooklyn Community District 17--East Flatbush, Farragut & Rugby",22,0,0
"BK96","Rugby-Remsen Village","36","047","Kings","Brooklyn","3","4010","Brooklyn Community District 17--East Flatbush, Farragut & Rugby","Brooklyn Community District 17--East Flatbush, Farragut & Rugby",22,0,0
"BK99","park-cemetery-etc-Brooklyn","36","047","Kings","Brooklyn","3",NA,NA,NA,578,73985,1139020
"QN01","South Jamaica","36","081","Queens","Queens","4","4112","Queens Community District 12--Jamaica, Hollis & St. Albans","Queens Community District 12--Jamaica, Hollis & St. Albans",131,0,0
"QN02","Springfield Gardens North","36","081","Queens","Queens","4","4112","Queens Community District 12--Jamaica, Hollis & St. Albans","Queens Community District 12--Jamaica, Hollis & St. Albans",131,0,0
"QN03","Springfield Gardens South-Brookville","36","081","Queens","Queens","4","4105","Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Community District 13--Queens Village, Cambria Heights & Rosedale",142,0,0
"QN05","Rosedale","36","081","Queens","Queens","4","4105","Queens Community District 13--Queens Village, Cambria Heights & Rosedale","Queens Community District 13--Queens Village, Cambria Heights & Rosedale",142,0,0
"QN06","Jamaica Estates-Holliswood","36","081","Queens","Queens","4","4106","Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest","Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest",89,0,0
"QN07","Hollis","36","081","Queens","Queens","4","4112","Queens Community District 12--Jamaica, Hollis & St. Albans","Queens Community District 12--Jamaica, Hollis & St. Albans",131,0,0
"QN08","St. Albans","36","081","Queens","Queens","4","4112","Queens Community District 12--Jamaica, Hollis & St. Albans","Queens Community District 12--Jamaica, Hollis & St. Albans",131,0,0
"QN10","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","36","081","Queens","Queens","4","4114","Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",110,0,0
"QN12","Hammels-Arverne-Edgemere","36","081","Queens","Queens","4","4114","Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",110,0,0
"QN15","Far Rockaway-Bayswater","36","081","Queens","Queens","4","4114","Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel","Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",110,0,0
"QN17","Forest Hills","36","081","Queens","Queens","4","4108","Queens Community District 6--Forest Hills & Rego Park","Queens Community District 6--Forest Hills & Rego Park",161,0,0
"QN18","Rego Park","36","081","Queens","Queens","4","4108","Queens Community District 6--Forest Hills & Rego Park","Queens Community District 6--Forest Hills & Rego Park",161,0,0
"QN19","Glendale","36","081","Queens","Queens","4","4110","Queens Community District 5--Ridgewood, Glendale & Middle Village","Queens Community District 5--Ridgewood, Glendale & Middle Village",205,0,0
"QN20","Ridgewood","36","081","Queens","Queens","4","4110","Queens Community District 5--Ridgewood, Glendale & Middle Village","Queens Community District 5--Ridgewood, Glendale & Middle Village",205,0,0
"QN21","Middle Village","36","081","Queens","Queens","4","4110","Queens Community District 5--Ridgewood, Glendale & Middle Village","Queens Community District 5--Ridgewood, Glendale & Middle Village",205,0,0
"QN22","Flushing","36","081","Queens","Queens","4","4103","Queens Community District 7--Flushing, Murray Hill & Whitestone","Queens Community District 7--Flushing, Murray Hill & Whitestone",158,0,0
"QN23","College Point","36","081","Queens","Queens","4","4103","Queens Community District 7--Flushing, Murray Hill & Whitestone","Queens Community District 7--Flushing, Murray Hill & Whitestone",158,0,0
"QN25","Corona","36","081","Queens","Queens","4","4107","Queens Community District 4--Elmhurst & South Corona","Queens Community District 4--Elmhurst & South Corona",103,0,0
"QN26","North Corona","36","081","Queens","Queens","4","4102","Queens Community District 3--Jackson Heights & North Corona","Queens Community District 3--Jackson Heights & North Corona",124,0,0
"QN27","East Elmhurst","36","081","Queens","Queens","4","4102","Queens Community District 3--Jackson Heights & North Corona","Queens Community District 3--Jackson Heights & North Corona",124,0,0
"QN28","Jackson Heights","36","081","Queens","Queens","4","4102","Queens Community District 3--Jackson Heights & North Corona","Queens Community District 3--Jackson Heights & North Corona",124,0,0
"QN29","Elmhurst","36","081","Queens","Queens","4","4107","Queens Community District 4--Elmhurst & South Corona","Queens Community District 4--Elmhurst & South Corona",103,0,0
"QN30","Maspeth","36","081","Queens","Queens","4","4110","Queens Community District 5--Ridgewood, Glendale & Middle Village","Queens Community District 5--Ridgewood, Glendale & Middle Village",205,0,0
"QN31","Hunters Point-Sunnyside-West Maspeth","36","081","Queens","Queens","4","4109","Queens Community District 2--Sunnyside & Woodside","Queens Community District 2--Sunnyside & Woodside",169,0,0
